Unnamed: 0,cik,entityName,companyFact,end,val,accn,fy,fp,form,filed,units
439500,5272,"American International Group, Inc.",AccruedInvestmentIncomeReceivable,2021-12-31,2239000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
439504,5272,"American International Group, Inc.",AccruedInvestmentIncomeReceivable,2022-12-31,2376000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
439670,5272,"American International Group, Inc.",AccumulatedOtherComprehensiveIncomeLossNetOfTax,2021-12-31,6687000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
439674,5272,"American International Group, Inc.",AccumulatedOtherComprehensiveIncomeLossNetOfTax,2022-12-31,-22092000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
439780,5272,"American International Group, Inc.",AdditionalPaidInCapitalCommonStock,2021-12-31,81851000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
439784,5272,"American International Group, Inc.",AdditionalPaidInCapitalCommonStock,2022-12-31,80284000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
439896,5272,"American International Group, Inc.",AdditionsToContractHoldersFunds,2020-12-31,22385000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
439904,5272,"American International Group, Inc.",AdditionsToContractHoldersFunds,2021-12-31,25424000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
439910,5272,"American International Group, Inc.",AdditionsToContractHoldersFunds,2022-12-31,26508000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
440049,5272,"American International Group, Inc.",AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,2020-12-31,6871000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
440057,5272,"American International Group, Inc.",AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,2021-12-31,-3644000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
440063,5272,"American International Group, Inc.",AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,2022-12-31,-7069000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
440202,5272,"American International Group, Inc.",AllocatedShareBasedCompensationExpense,2020-12-31,274000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
440204,5272,"American International Group, Inc.",AllocatedShareBasedCompensationExpense,2021-12-31,278000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
440205,5272,"American International Group, Inc.",AllocatedShareBasedCompensationExpense,2022-12-31,288000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
440238,5272,"American International Group, Inc.",AllocatedShareBasedCompensationExpenseNetOfTax,2020-12-31,216000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
440240,5272,"American International Group, Inc.",AllocatedShareBasedCompensationExpenseNetOfTax,2021-12-31,220000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
440241,5272,"American International Group, Inc.",AllocatedShareBasedCompensationExpenseNetOfTax,2022-12-31,228000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
440282,5272,"American International Group, Inc.",AllowanceForDoubtfulAccountsPremiumsAndOtherReceivables,2021-12-31,185000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
440286,5272,"American International Group, Inc.",AllowanceForDoubtfulAccountsPremiumsAndOtherReceivables,2022-12-31,169000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
440912,5272,"American International Group, Inc.",AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2020-12-31,68700000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,shares
440924,5272,"American International Group, Inc.",AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2021-12-31,12000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,shares
440933,5272,"American International Group, Inc.",AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,2022-12-31,24100000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,shares
